City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Murgab,TM,37.4966,61.9714,82.27,42,0,9.22,clear sky
69,Lundazi,ZM,-12.2929,33.1782,55.35,79,0,6.22,clear sky
70,Busselton,AU,-33.65,115.3333,47.39,78,0,5.48,clear sky
71,Jequitinhonha,BR,-16.4339,-41.0033,72.59,70,81,2.57,broken clouds
72,Kismayo,SO,-0.3582,42.5454,75.6,81,35,19.37,light rain
73,Saint Anthony,US,45.0205,-93.218,84.15,32,20,20.71,few clouds
74,Omegna,IT,45.8798,8.408,72.7,69,8,6.71,clear sky
75,Yar-Sale,RU,66.8333,70.8333,50.09,80,66,11.56,light rain
76,Remiremont,FR,48.0175,6.5882,55.58,75,0,3.8,clear sky
77,Kostyantynivka,UA,48.5277,37.7069,57.56,71,45,8.86,scattered clouds
78,Beyneu,KZ,45.3167,55.2,75.85,23,72,7.67,broken clouds
79,Maputo,MZ,-25.9653,32.5892,67.23,81,0,3.85,clear sky
80,Hithadhoo,MV,-0.6,73.0833,81.25,75,66,8.3,moderate rain
81,Sumbe,AO,-11.2061,13.8437,68.52,86,5,6.38,clear sky
82,Sur,OM,22.5667,59.5289,87.22,71,100,9.42,overcast clouds
83,Itarema,BR,-2.9248,-39.9167,76.93,86,4,9.57,clear sky
84,Tunceli,TR,39.1083,39.5471,68.47,62,4,7.36,clear sky
85,Wanlaweyn,SO,2.6185,44.8938,73.0,80,88,14.05,overcast clouds
86,Anta,IN,25.15,76.3,82.2,78,92,5.14,overcast clouds
87,Thompson,CA,55.7435,-97.8558,59.16,51,100,13.8,overcast clouds
88,Dunyapur,PK,29.7995,71.7196,92.62,49,38,11.03,scattered clouds
89,Calama,CL,-22.4667,-68.9333,66.69,5,0,17.27,clear sky
90,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.49,48,57,1.99,broken clouds
91,Muzhi,RU,65.3667,64.6667,51.84,70,15,8.41,few clouds
92,Okitipupa,NG,6.5047,4.7839,73.8,91,100,1.54,overcast clouds
93,Port Shepstone,ZA,-30.7414,30.455,60.93,54,0,6.46,clear sky
94,Korla,CN,41.7597,86.1469,79.03,25,65,16.02,broken clouds
95,Abha,SA,18.2164,42.5053,71.42,64,0,5.75,clear sky
96,Gilgit,PK,35.9221,74.3087,85.93,50,0,3.06,clear sky
97,Codrington,AU,-38.2667,141.9667,49.21,73,100,8.28,overcast clouds
98,Nantucket,US,41.2835,-70.0995,76.01,88,0,14.97,clear sky
99,Taoudenni,ML,22.6783,-3.9836,96.85,23,89,8.75,overcast clouds
100,Cidreira,BR,-30.1811,-50.2056,60.87,83,0,22.3,clear sky
101,Buckingham,GB,51.9997,-0.9878,57.65,59,33,1.99,scattered clouds
102,Souillac,MU,-20.5167,57.5167,66.58,94,75,11.5,light intensity shower rain
103,Rio Grande,BR,-32.035,-52.0986,57.94,80,31,21.5,scattered clouds
104,Kutum,SD,14.2,24.6667,79.29,41,96,4.81,overcast clouds
105,East London,ZA,-33.0153,27.9116,69.94,37,0,9.57,clear sky
106,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,80.35,69,98,2.17,overcast clouds
107,Kruisfontein,ZA,-34.0033,24.7314,64.89,36,2,15.86,clear sky
108,Paamiut,GL,61.994,-49.6678,39.2,89,90,4.14,overcast clouds
109,Luanda,AO,-8.8368,13.2343,69.8,94,20,8.05,few clouds
110,Mabaruma,GY,8.2,-59.7833,76.06,96,57,4.0,broken clouds
111,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,65,40,17.27,scattered clouds
112,Klaksvik,FO,62.2266,-6.589,50.92,91,100,7.96,overcast clouds
113,Bredasdorp,ZA,-34.5322,20.0403,58.64,58,0,4.97,clear sky
114,Vedeno,RU,42.9703,46.095,62.31,92,96,5.08,light rain
115,Nampula,MZ,-15.1165,39.2666,59.85,97,28,2.21,scattered clouds
116,Qaanaaq,GL,77.484,-69.3632,42.71,68,66,4.45,broken clouds
117,Tiznit,MA,29.5833,-9.5,63.03,83,43,2.62,scattered clouds
118,Araouane,ML,18.9048,-3.5265,95.14,25,81,15.57,broken clouds
119,Cayenne,GF,4.9333,-52.3333,82.44,1,0,8.05,clear sky
120,Roald,NO,62.5833,6.1333,73.17,88,0,2.3,clear sky
121,Berlin,DE,52.5244,13.4105,64.36,82,0,8.01,clear sky
122,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,90,75,14.97,broken clouds
123,Itapeva,BR,-23.9822,-48.8756,58.86,68,0,4.74,clear sky
124,Malmesbury,ZA,-33.4608,18.7271,60.78,68,17,9.1,few clouds
125,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.22,30,0,2.1,clear sky
126,Atmakur,IN,15.8833,78.5833,79.32,72,100,11.83,overcast clouds
127,Havelock,US,34.8791,-76.9013,82.38,83,40,10.36,scattered clouds
128,Shahdadkot,PK,27.8477,67.9055,96.94,46,72,5.01,broken clouds
129,Derzhavinsk,KZ,51.1,66.3167,59.85,51,64,6.67,broken clouds
130,Krasnoselkup,RU,65.7,82.4667,54.82,59,100,11.48,overcast clouds
131,Gap,FR,44.6667,6.0,48.83,74,2,5.3,clear sky
132,Ilulissat,GL,69.2167,-51.1,51.82,58,20,10.36,few clouds
133,Bafq,IR,31.6128,55.4107,87.8,13,1,2.53,clear sky
134,Kilindoni,TZ,-7.9139,39.6668,76.6,70,9,20.45,clear sky
135,Harlingen,US,26.1906,-97.6961,98.56,36,0,19.57,clear sky
136,Torbat-E Jam,IR,35.244,60.6225,81.19,19,0,10.58,clear sky
137,Malanje,AO,-9.5402,16.341,63.81,35,0,2.89,clear sky
138,Darab,IR,28.7519,54.5444,87.58,38,2,2.77,clear sky
139,Moissac,FR,44.1024,1.0945,63.48,54,4,2.82,clear sky
140,Nuqui,CO,5.7125,-77.2708,80.69,82,78,8.66,light rain
141,Kishanpur,IN,25.65,81.0167,91.8,56,100,1.54,overcast clouds
142,Sakakah,SA,29.9697,40.2064,89.17,22,0,8.57,clear sky
