City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tautira,PF,2022-06-28 17:39:41,-17.7333,-149.15,78.71,74,15,18.81
68,Hamilton,US,2022-06-28 17:35:43,39.1834,-84.5333,79.74,39,0,5.75
69,Toyooka,JP,2022-06-28 17:39:05,35.5333,134.8333,73.36,96,97,6.11
70,Adrar,MR,2022-06-28 17:39:43,20.5022,-10.0711,102.97,11,6,12.73
71,Salamina,GR,2022-06-28 17:39:43,37.9643,23.4965,88.0,34,0,6.91
72,Trinidad,BO,2022-06-28 17:39:43,-14.8333,-64.9,87.78,62,20,9.22
73,Diplo,PK,2022-06-28 17:39:44,24.4667,69.584,87.13,73,98,19.35
74,Bluff,NZ,2022-06-28 17:39:44,-46.6,168.3333,40.8,76,100,17.96
75,Te Anau,NZ,2022-06-28 17:39:45,-45.4167,167.7167,40.46,93,98,5.88
76,Nipawin,CA,2022-06-28 17:39:45,53.3668,-104.0009,64.44,39,0,2.3
77,Castro,BR,2022-06-28 17:39:45,-24.7911,-50.0119,68.97,58,11,8.95
78,Luderitz,NA,2022-06-28 17:39:46,-26.6481,15.1594,71.1,39,1,8.79
79,Vaitape,PF,2022-06-28 17:39:47,-16.5167,-151.75,79.72,73,23,21.27
80,Geraldton,AU,2022-06-28 17:39:47,-28.7667,114.6,52.21,76,0,11.5
81,Cape Town,ZA,2022-06-28 17:35:02,-33.9258,18.4232,68.92,45,0,4.61
82,Tuktoyaktuk,CA,2022-06-28 17:39:48,69.4541,-133.0374,57.2,67,20,5.75
83,Mahebourg,MU,2022-06-28 17:39:48,-20.4081,57.7,70.09,56,40,11.5
84,Svetlyy,RU,2022-06-28 17:39:49,54.675,20.1347,68.05,98,86,9.89
85,Kautokeino,NO,2022-06-28 17:39:49,69.0125,23.0412,76.06,58,15,14.88
86,Aktash,RU,2022-06-28 17:39:50,50.3,87.7333,46.17,86,75,1.68
87,Kovdor,RU,2022-06-28 17:39:50,67.5662,30.4758,65.77,46,6,7.49
88,Souillac,MU,2022-06-28 17:39:51,-20.5167,57.5167,70.18,56,40,11.5
89,Jatibonico,CU,2022-06-28 17:39:51,21.9419,-79.17,81.18,73,97,2.86
90,Dong Hoi,VN,2022-06-28 17:39:51,17.4833,106.6,83.32,72,37,6.49
91,Ponta Do Sol,PT,2022-06-28 17:39:52,32.6667,-17.1,71.71,64,4,4.81
92,Pryluky,UA,2022-06-28 17:39:53,50.5932,32.3876,75.27,70,60,7.43
93,Upernavik,GL,2022-06-28 17:39:54,72.7868,-56.1549,40.53,71,75,7.9
94,Hervey Bay,AU,2022-06-28 17:39:54,-25.2986,152.8535,64.62,63,99,18.77
95,Novska,HR,2022-06-28 17:39:55,45.3406,16.9769,83.89,47,1,3.27
96,Kieta,PG,2022-06-28 17:39:55,-6.2167,155.6333,77.83,84,36,5.12
97,Flinders,AU,2022-06-28 17:39:56,-34.5833,150.8552,49.17,88,30,1.99
98,Butembo,CD,2022-06-28 17:39:56,0.15,29.2833,60.1,74,75,4.07
99,Camacha,PT,2022-06-28 17:39:56,33.0833,-16.3333,67.42,56,40,13.8
100,Hithadhoo,MV,2022-06-28 17:39:57,-0.6,73.0833,82.92,72,54,5.55
101,East London,ZA,2022-06-28 17:39:57,-33.0153,27.9116,61.74,63,0,5.75
102,Payson,US,2022-06-28 17:39:58,40.0444,-111.7321,88.56,29,0,6.91
103,Catuday,PH,2022-06-28 17:39:59,16.2923,119.8062,77.0,87,100,12.95
104,Beira,MZ,2022-06-28 17:39:59,-19.8436,34.8389,68.0,80,26,16.15
