City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Katastarion,GR,80.55,clear sky,37.8333,20.7667,Clio
410,Kardla,EE,75.06,overcast clouds,58.9978,22.7492,Padu hotel
415,Douglas,US,82.27,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
421,Batticaloa,LK,81.59,overcast clouds,7.7102,81.6924,Grand Star Guest House
425,Sao Raimundo Nonato,BR,80.31,scattered clouds,-9.0153,-42.6994,Real Hotel
426,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
432,Abu Dhabi,AE,89.71,few clouds,24.4667,54.3667,Beach Rotana
434,Kudahuvadhoo,MV,78.13,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
435,Skeldon,GY,76.93,scattered clouds,5.8833,-57.1333,Classic International Hotel & Suites
437,Siparia,TT,78.82,overcast clouds,10.1333,-61.5,Brook Gardens
445,Mapiripan,CO,78.55,broken clouds,2.8892,-72.1256,Monserrate
446,Kaka,TM,88.59,clear sky,37.3482,59.6143,
448,Balkanabat,TM,81.36,clear sky,39.5108,54.3671,Nebitchi Hotel
452,Weligama,LK,80.46,few clouds,5.9667,80.4167,Weligama Bay Resort
453,Washington,US,87.78,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
455,Aquiraz,BR,81.18,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
456,Kyabe,TD,79.66,overcast clouds,9.4515,18.9449,
459,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
464,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
466,Follonica,IT,78.01,clear sky,42.9263,10.7616,Hotel Parrini
468,Ibra,OM,86.31,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
470,Nizwa,OM,89.65,scattered clouds,22.9333,57.5333,Orient Apartments
471,Roseto Degli Abruzzi,IT,82.09,clear sky,42.6664,14.0227,Villa Rosella Resort
473,Rurrenabaque,BO,77.14,broken clouds,-14.4413,-67.5278,Casa de Campo
474,Amroha,IN,86.25,overcast clouds,28.9167,78.4667,Hotel Parth Amroha
477,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
482,Adamas,GR,76.51,clear sky,36.7333,24.4333,Aphrodite of Milos
483,Lardos,GR,84.02,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
488,Forecariah,GN,75.94,light rain,9.4306,-13.0881,"Motel "" La Maison Blanche"""
490,Panorama,GR,78.33,few clouds,40.5878,23.0315,Panorama Hotel
492,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
494,Ugoofaaru,MV,82.89,few clouds,5.6667,73.0,Ungoofaaru Inn
496,Guisa,CU,80.85,overcast clouds,20.255,-76.5386,
499,Urrutia,HN,85.21,overcast clouds,14.7427,-87.0422,
500,Puri,IN,81.12,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
502,Catia La Mar,VE,80.08,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
504,Kaya,BF,88.36,scattered clouds,13.0917,-1.0844,Maison de l'appelé
505,Mana,GF,78.93,scattered clouds,5.6592,-53.7767,LE SAMANA
506,Guasdualito,VE,84.2,broken clouds,7.2424,-70.7324,Hotel Cuibas
512,Girne,CY,78.35,clear sky,35.3417,33.3167,Lavanta Residence
516,Mayor Pablo Lagerenza,PY,86.02,clear sky,-19.9309,-60.7718,
522,Umm Lajj,SA,84.76,clear sky,25.0213,37.2685,Moon light Furnished Units
525,Rusera,IN,84.2,moderate rain,25.75,86.0333,Santosh Hotel&Santosh resturent
527,Kashi,CN,85.21,few clouds,39.4547,75.9797,帕米尔青年旅舍
535,Pratapgarh,IN,75.16,moderate rain,24.0333,74.7833,Ratna Hotel
537,Porangatu,BR,77.31,clear sky,-13.4408,-49.1486,Wembley Park Hotel
538,Bensonville,LR,78.35,overcast clouds,6.4461,-10.6125,Moinga
546,Aksu,CN,79.83,clear sky,41.1231,80.2644,Pudong Holiday Hotel
548,Rawalpindi,PK,81.23,scattered clouds,33.6007,73.0679,Hotel Akbar International
549,Koutiala,ML,80.55,light rain,12.3917,-5.4642,Hotel La Chaumiere
551,Yarmouth,US,81.64,few clouds,41.7057,-70.2286,Blue Rock Resort
553,Sawakin,SD,88.14,clear sky,19.1059,37.3321,فندق الدويم
554,Bafoulabe,ML,89.69,broken clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
557,Monroe,US,86.02,overcast clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
559,Anzio,IT,80.98,clear sky,41.4853,12.6179,Hotel Lido Garda
560,Shelburne,CA,81.36,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
566,Nueva Loja,EC,78.82,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
569,Trairi,BR,77.31,clear sky,-3.2778,-39.2689,janelas do mar
572,Placido De Castro,BR,80.42,clear sky,-10.3353,-67.1856,Hotel Carioca
576,Puerto Ayacucho,VE,80.24,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
577,Andros,GR,81.16,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
578,Lincoln,US,86.14,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
579,Jurado,CO,79.86,light rain,7.1053,-77.7641,
580,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
585,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
586,Telhara,IN,78.6,overcast clouds,21.0269,76.8389,Sarodes home
588,Nador,MA,75.45,broken clouds,35.174,-2.9287,Hôtel La Giralda
591,Ilheus,BR,76.82,scattered clouds,-14.7889,-39.0494,Barravento Hotel
593,Rasra,IN,89.24,overcast clouds,25.85,83.85,shree nath singh
596,Houlton,US,79.21,clear sky,46.1262,-67.8403,Ivey's Motor Lodge Houlton
600,Oliva,ES,75.63,few clouds,38.9197,-0.1194,Camping Kikopark
603,Sompeta,IN,80.35,moderate rain,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
605,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
609,Matara,LK,80.38,few clouds,5.9485,80.5353,Amaloh Boutique Resort
610,Mbuji-Mayi,CD,79.23,broken clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
612,Alvaraes,BR,80.47,scattered clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
613,Gayeri,BF,86.76,broken clouds,12.6497,0.4931,
615,Malakal,SS,77.38,scattered clouds,9.5334,31.6605,Nile Palace Hotel
618,Panagar,IN,79.63,moderate rain,23.3,79.9833,Paras Hotel pure veg
620,Vadakku Valliyur,IN,81.5,overcast clouds,8.3833,77.65,AR
